Plot,Location,Env,Rep,Block,Genotype,Planting_date,DTF,DTM,PH,LPH
2025,WPR_2022,1,2,10,PI472339,2/1/2022,,104,17.7,3.2
2026,WPR_2022,1,2,10,PI432188,2/1/2022,,106,25.3,11
2027,WPR_2022,1,2,10,PI431774,2/1/2022,,104,25.3,6.8
2029,WPR_2022,1,2,9,PI299116,2/1/2022,,106,25.3,11.3
2030,WPR_2022,1,2,9,ILL1940,2/1/2022,,104,24,6.9
2031,WPR_2022,1,2,9,PI297754,2/1/2022,,113,29.3,13
2032,WPR_2022,1,2,9,PI431624,2/1/2022,,113,19.7,9.3
2033,WPR_2022,1,2,9,PI431640,2/1/2022,,113,28.3,11.3
2034,WPR_2022,1,2,9,PI175754,2/1/2022,,113,21.7,12
2035,WPR_2022,1,2,9,PI606570,2/1/2022,,113,21.7,11
2036,WPR_2022,1,2,9,ILL360,2/1/2022,,106,27.7,13
2037,WPR_2022,1,2,10,PI432184,2/1/2022,,104,23.3,10.3
2038,WPR_2022,1,2,10,PI432085,2/1/2022,,104,27.3,9.7
2039,WPR_2022,1,2,10,PI432271,2/1/2022,,106,28.7,14
2040,WPR_2022,1,2,10,PI280686,2/1/2022,,104,28,4.2
2041,WPR_2022,1,2,11,ILL1939,2/1/2022,,104,28.7,9.3
2042,WPR_2022,1,2,11,PI472126,2/1/2022,,104,20,3
2043,WPR_2022,1,2,11,PI312175,2/1/2022,,106,25,8.2
2044,WPR_2022,1,2,11,PI472549,2/1/2022,,104,27.3,4.3
2045,WPR_2022,1,2,12,PI472380,2/1/2022,,104,26,5.8
2046,WPR_2022,1,2,12,PI320936,2/1/2022,,104,24.7,11.3
2047,WPR_2022,1,2,12,PI298122,2/1/2022,,115,25.3,11.2
2048,WPR_2022,1,2,12,PI472383,2/1/2022,,104,23.7,3.5
2049,WPR_2022,1,2,12,W627760,2/1/2022,,104,24,8.7
2051,WPR_2022,1,2,12,PI472188,2/1/2022,,104,25.7,3.3
2052,WPR_2022,1,2,12,PI431756,2/1/2022,,108,23.7,10.3
2053,WPR_2022,1,2,11,ILL482,2/1/2022,,119,23.7,10.3
2054,WPR_2022,1,2,11,PI181886,2/1/2022,,106,29,12
2055,WPR_2022,1,2,11,ILL211,2/1/2022,,119,26,10.3
2056,WPR_2022,1,2,11,PI477921,2/1/2022,,108,29,15
2057,WPR_2022,1,2,10,PI299207,2/1/2022,,104,29.7,13.3
2058,WPR_2022,1,2,10,W627754,2/1/2022,,106,25.3,13.7
2059,WPR_2022,1,2,10,PI370481,2/1/2022,,113,26.7,17
2060,WPR_2022,1,2,10,PI299120,2/1/2022,,104,25,9
